Product ID,Name,Category,Price,Stock,Supplier ID
101,Mechanical Keyboard,Electronics,8500.0,24,1
102,Wireless Mouse,Electronics,2200.0,30,1
103,USB-C Hub,Electronics,4500.0,18,1
104,27-inch Monitor,Electronics,52000.0,6,1
105,Gaming Headset,Electronics,7500.0,20,2
106,Webcam 1080p,Electronics,6800.0,15,2
107,Laptop Stand,Accessories,3500.0,25,2
108,SSD 1TB External,Storage,18500.0,10,2
109,Ergonomic Chair,Furniture,28000.0,6,2
110,A4 Copy Paper (Ream),Stationery,850.0,100,3
111,Ballpoint Pens (Box),Stationery,450.0,80,3
112,Stapler Machine,Stationery,650.0,40,3
113,Whiteboard 4x3 ft,Furniture,4200.0,12,3
114,Filing Cabinet,Furniture,9500.0,7,3
115,Power Bank 20000mAh,Electronics,5500.0,35,4
116,Bluetooth Speaker,Electronics,4800.0,22,4
117,Phone Case (Universal),Accessories,800.0,60,4
118,HDMI Cable 2m,Accessories,1200.0,45,4
119,Desk Lamp LED,Furniture,3200.0,18,4
120,Wireless Charger Pad,Electronics,2800.0,28,4
121,USB (128 GB),Electronics,1200.0,20,2
